Book/Category,Scenario Number,Scenario,Strategy Used,Goal,Margin Requirement,Delta,Gamma,Theta,Vega
Core Yield & Accumulation,1,Capital Appreciation + Yield,OTM Covered Calls,Generating a 1-3% yield while leaving room for the underlying asset to grow.,Own 100 shares,Positive,Negative,Positive,Negative
Core Yield & Accumulation,2,Max Income / Flat Market,ATM Covered Calls,Extracting the highest possible extrinsic premium when a stock is expected to trade sideways.,Own 100 shares,Neutral to Positive,Negative,Positive,Negative
Core Yield & Accumulation,3,Defensive Yield,ITM Covered Calls,"Collecting massive premium with deep downside protection when slightly bearish, sacrificing all upside.",Own 100 shares,Positive,Negative,Positive,Negative
Core Yield & Accumulation,4,Discounted Entry,OTM Cash-Secured Puts,Getting paid to wait for a target entry price below the current market value.,100% of strike price in cash,Positive,Negative,Positive,Negative
Core Yield & Accumulation,5,High-Conviction Entry,ATM Cash-Secured Puts,Maximizing premium collection while aggressively attempting to acquire the underlying asset.,100% of strike price in cash,Positive,Negative,Positive,Negative
Core Yield & Accumulation,6,Capital-Efficient Yield,Poor Man's Covered Call,Replicating a covered call using deep ITM LEAPS instead of equity to free up 70%+ of capital for other trades.,Cost of LEAPS spread,Positive,Variable,Positive,Positive
Core Yield & Accumulation,7,Systematic Cash Flow,The Wheel Strategy,Looping CSPs and Covered Calls to continuously lower cost basis and generate yield regardless of market direction.,100% of strike price / Own 100 shares,Positive,Negative,Positive,Negative
Core Yield & Accumulation,8,Instant Basis Reduction,Buy-Write Strategy,Buying shares and selling calls in one simultaneous block order to immediately lock in a lower entry price.,Cost of shares less premium,Positive,Negative,Positive,Negative
Risk Management & Hedging,9,Black Swan Protection,Protective Puts,"Hedging a long portfolio against catastrophic, systemic market crashes.",Cost of put,Negative,Positive,Negative,Positive
Risk Management & Hedging,10,Capping Downside at Zero Cost,Zero-Cost Collars,"Selling OTM calls to entirely fund the purchase of OTM puts, creating a defined floor and ceiling for the asset.",Own 100 shares,Positive,Neutral,Neutral,Neutral
Risk Management & Hedging,11,Position Recovery,Stock Repair Strategy,Buying 1 call and selling 2 higher-strike calls to lower the breakeven point on a losing stock without risking more capital.,Margin for short calls / Own 100 shares,Positive,Negative,Positive,Negative
Risk Management & Hedging,12,Hedging Extreme Downside,Put Ratio Backspreads,"Selling a high-strike put to finance buying multiple lower-strike puts. Pays off massively in a crash, but loses in a mild dip.",Margin on short put,Negative,Positive,Negative,Positive
Volatility & Arbitrage,13,Volatility Arbitrage,Delta-Neutral Straddles,"Betting that realized volatility will outpace the market's implied volatility, regardless of price direction.",Cost of straddle,Neutral,Positive,Negative,Positive
Volatility & Arbitrage,14,Market Neutrality,Gamma Scalping,Trading the underlying stock against a long option position to lock in small profits as the Delta constantly shifts.,Cost of options + dynamic stock margin,Neutral,Positive,Negative,Positive
Volatility & Arbitrage,15,Earnings Volatility Crush,Iron Condors,Selling OTM calls and puts before an earnings report to profit from the rapid drop in Implied Volatility (IV crush) after the news.,Difference in spread strikes,Neutral,Negative,Positive,Negative
Volatility & Arbitrage,16,Extreme Vol Crush,Short Strangles,"Selling OTM calls and puts unhedged (naked) to maximize IV crush profits. Extremely high risk, requires heavy margin.",High Naked Margin,Neutral,Negative,Positive,Negative
Volatility & Arbitrage,17,Merger Arbitrage,Risk Reversals,Using options to lock in the spread between an acquisition target's current price and the buyout price while hedging deal-failure risk.,Margin on short option,Positive,Variable,Variable,Variable
Volatility & Arbitrage,18,Relative Value / Indexing,Dispersion Trading,"Selling options on an Index (low vol) while buying options on its components (high vol), betting on the correlation breaking down.",Complex Portfolio Margin,Neutral,Positive,Negative,Positive
Volatility & Arbitrage,19,Time Arbitrage,Calendar Spreads,Selling near-term options and buying longer-term options at the same strike to exploit the faster time decay (Theta) of the short-term contract.,Cost of spread,Neutral,Negative,Positive,Positive
Directional & Leverage,20,Macro Thematic Leverage,Deep OTM LEAPS,"Buying cheap, long-dated calls to gain massive asymmetric leverage on high-conviction macroeconomic trends.",Cost of options,Positive,Positive,Negative,Positive
Directional & Leverage,21,Skew Exploitation,Vertical Debit Spreads,Buying ITM options and selling OTM options to define risk while taking a heavily directional stance on a mispriced asset.,Cost of spread,Positive,Variable,Variable,Variable
Directional & Leverage,22,Dividend Capture,Synthetic Long Stock,"Buying an ATM call and selling an ATM put to exactly replicate holding 100 shares, often used to free up capital or play corporate actions.",Naked put margin,Positive,Neutral,Neutral,Neutral